Pl 1 hand,Pl 2 hand,Round,Surface,Best of,Final TB?,Year,tournament_level,p1_previous_matches,p2_previous_matches,experience_diff,p1_previous_win_rate,p2_previous_win_rate,win_rate_diff,p1_surface_matches,p2_surface_matches,surface_experience_diff,p1_surface_win_rate,p2_surface_win_rate,surface_win_rate_diff,target
R,R,R128,Clay,5,0,2021,Grand Slam,0,4,-4,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,Q1,Hard,3,1,2021,Challenger,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,R128,Clay,5,0,2021,Grand Slam,16,5,11,0.5625,0.6,-0.03749999999999998,3,1,2,0.0,1.0,-1.0,0
R,R,R128,Clay,5,0,2021,Grand Slam,0,1,-1,0.5,1.0,-0.5,0,0,0,0.5,0.5,0.0,0
R,R,R128,Clay,5,0,2021,Grand Slam,0,6,-6,0.5,0.5,0.0,0,2,-2,0.5,0.5,0.0,0
L,R,R128,Clay,5,0,2021,Grand Slam,1,0,1,1.0,0.5,0.5,1,0,1,1.0,0.5,0.5,0
R,R,R64,Clay,5,0,2021,Grand Slam,6,3,3,0.6666666666666666,0.6666666666666666,0.0,2,1,1,1.0,1.0,0.0,0
R,R,R64,Clay,5,0,2021,Grand Slam,7,0,7,0.5714285714285714,0.5,0.0714285714285714,3,0,3,0.6666666666666666,0.5,0.16666666666666663,1
R,R,R64,Clay,5,0,2021,Grand Slam,3,2,1,0.3333333333333333,1.0,-0.6666666666666667,1,1,0,0.0,1.0,-1.0,0
R,R,R64,Clay,5,0,2021,Grand Slam,6,1,5,0.6666666666666666,0.0,0.6666666666666666,4,1,3,1.0,0.0,1.0,1
R,R,R64,Clay,5,0,2021,Grand Slam,1,1,0,1.0,1.0,0.0,0,1,-1,0.5,1.0,-0.5,1
R,R,R32,Clay,5,0,2021,Grand Slam,5,4,1,0.8,0.75,0.050000000000000044,3,2,1,0.6666666666666666,1.0,-0.33333333333333337,0
R,L,R32,Clay,5,0,2021,Grand Slam,3,0,3,1.0,0.5,0.5,2,0,2,1.0,0.5,0.5,1
L,L,R32,Clay,5,0,2021,Grand Slam,4,4,0,0.5,0.5,0.0,3,3,0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1
R,R,R16,Clay,3,1,2021,Masters 1000,6,16,-10,0.6666666666666666,0.8125,-0.14583333333333337,4,8,-4,0.5,0.875,-0.375,1
R,R,R32,Clay,5,0,2021,Grand Slam,1,7,-6,0.0,0.42857142857142855,-0.42857142857142855,0,4,-4,0.5,0.5,0.0,0
R,R,R16,Clay,3,1,2021,Masters 1000,4,4,0,0.25,0.5,-0.25,1,2,-1,0.0,0.0,0.0,1
L,R,R16,Clay,5,0,2021,Grand Slam,5,8,-3,0.6,0.625,-0.025000000000000022,4,4,0,0.75,0.75,0.0,1
R,R,QF,Clay,5,0,2021,Grand Slam,5,5,0,0.8,0.8,0.0,3,3,0,1.0,1.0,0.0,1
R,R,QF,Clay,5,0,2021,Grand Slam,17,4,13,0.7647058823529411,0.75,0.014705882352941124,9,0,9,0.7777777777777778,0.5,0.2777777777777778,1
R,R,QF,Clay,5,0,2021,Grand Slam,4,8,-4,0.75,0.875,-0.125,2,5,-3,0.5,0.8,-0.30000000000000004,1
L,R,QF,Clay,5,0,2021,Grand Slam,6,1,5,0.6666666666666666,1.0,-0.33333333333333337,5,0,5,0.8,0.5,0.30000000000000004,1
R,L,R16,Grass,3,1,2021,ATP 250,17,0,17,0.5294117647058824,0.5,0.02941176470588236,0,0,0,0.5,0.5,0.0,0
L,R,SF,Clay,5,0,2021,Grand Slam,7,5,2,0.7142857142857143,0.8,-0.08571428571428574,6,3,3,0.8333333333333334,0.6666666666666666,0.16666666666666674,0
R,R,SF,Clay,5,0,2021,Grand Slam,18,6,12,0.7777777777777778,0.8333333333333334,-0.05555555555555558,10,4,6,0.8,1.0,-0.19999999999999996,1
R,R,F,Clay,5,0,2021,Grand Slam,19,6,13,0.7894736842105263,0.8333333333333334,-0.04385964912280704,11,4,7,0.8181818181818182,0.75,0.06818181818181823,0
R,R,F,Clay,3,1,2021,Challenger,1,0,1,1.0,0.5,0.5,1,0,1,1.0,0.5,0.5,1
R,R,F,Clay,3,1,2021,Challenger,0,1,-1,0.5,0.0,0.5,0,0,0,0.5,0.5,0.0,1
R,R,R32,Grass,3,1,2021,ATP 500,3,18,-15,0.0,0.5,-0.5,0,1,-1,0.5,0.0,0.5,1
R,R,R32,Grass,3,1,2021,ATP 500,0,2,-2,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,R32,Grass,3,1,2021,ATP 500,2,4,-2,0.5,0.25,0.25,0,0,0,0.5,0.5,0.0,1
R,R,F,Clay,3,1,2021,Challenger,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
L,R,F,Grass,3,1,2021,ATP 500,5,9,-4,0.4,0.7777777777777778,-0.37777777777777777,0,0,0,0.5,0.5,0.0,0
R,R,F,Grass,3,1,2021,ATP 250,2,3,-1,0.0,0.6666666666666666,-0.6666666666666666,0,0,0,0.5,0.5,0.0,0
R,R,F,Clay,3,1,2021,ATP 250,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,L,R128,Grass,5,1,2021,Grand Slam,4,1,3,1.0,0.0,1.0,0,0,0,0.5,0.5,0.0,1
R,R,R128,Grass,5,T,2021,Grand Slam,9,5,4,0.5555555555555556,0.6,-0.0444444444444444,0,0,0,0.5,0.5,0.0,0
L,R,R128,Grass,5,T,2021,Grand Slam,3,4,-1,0.6666666666666666,0.5,0.16666666666666663,0,0,0,0.5,0.5,0.0,0
R,R,R128,Grass,5,T,2021,Grand Slam,1,7,-6,0.0,0.5714285714285714,-0.5714285714285714,0,0,0,0.5,0.5,0.0,0
